Comment,Designator,Footprint,LCSC
LS A67K,"D39,D41,D43,D45",LED_Osram_LY_A64K,C2830540
US6K1,Q1,SOT-363_SC-70-6_Handsoldering,C703686
Conn_02x11_Counter_Clockwise,J2,PinHeader_2x11_P1.27mm_Vertical_SMD,C920913
LED,D13,MHT151CYCT,
R,R21,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D19,MHT151CYCT,
R,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D10,MHT151CYCT,
R,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D51,MHT151CYCT,
LED,D38,MHT151CYCT,
Conn_01x03_Female,J17,PinHeader_1x03_P2.54mm_Horizontal,
LED,D17,MHT151CYCT,
R,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D32,MHT151CYCT,
LED,D9,MHT151CYCT,
R,R23,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D27,MHT151CYCT,
LED,D18,MHT151CYCT,
R,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D14,MHT151CYCT,
LED,D6,MHT151CYCT,
LED,D36,MHT151CYCT,
LY A67K,D40,LED_Osram_LY_A64K,
Conn_01x02,J16,Blokkendoos motor spings,
R,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
0R,R26,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D24,MHT151CYCT,
LED,D62,MHT151CYCT,
LED,D12,MHT151CYCT,
LED,D33,MHT151CYCT,
LED,D22,MHT151CYCT,
LED,D3,MHT151CYCT,
LED,D8,MHT151CYCT,
LED,D28,MHT151CYCT,
LED,D31,MHT151CYCT,
R,R25,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D49,MHT151CYCT,
R,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D63,MHT151CYCT,
LED,D11,MHT151CYCT,
LED,D60,MHT151CYCT,
LED,D34,MHT151CYCT,
R,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D57,MHT151CYCT,
LED,D30,MHT151CYCT,
R,R22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D5,MHT151CYCT,
LED,D25,MHT151CYCT,
LED,D1,MHT151CYCT,
LED,D4,MHT151CYCT,
LED,D21,MHT151CYCT,
LED,D20,MHT151CYCT,
LED,D53,MHT151CYCT,
R,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D47,MHT151CYCT_dual_side,
Conn_01x01,J18,PinHeader_1x01_P2.54mm_Horizontal,
LED,D48,MHT151CYCT_dual_side,
R,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D50,MHT151CYCT,
LED,D26,MHT151CYCT,
LED,D35,MHT151CYCT,
LY A67K,D44,LED_Osram_LY_A64K,
LED,D52,MHT151CYCT,
LED,D2,MHT151CYCT,
LED,D7,MHT151CYCT,
R,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D23,MHT151CYCT,
LED,D29,MHT151CYCT,
LED,D54,MHT151CYCT,
LED,D15,MHT151CYCT,
R,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D56,MHT151CYCT,
LED,D58,MHT151CYCT,
R,R24,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R17,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D59,MHT151CYCT,
LED,D55,MHT151CYCT,
LED,D16,MHT151CYCT,
