Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,MHT151CYCT,-100.584,-6.604,90.0,top
D2,LED,MHT151CYCT,100.838,-6.604,90.0,top
D3,LED,MHT151CYCT,-100.584,7.112,90.0,top
D4,LED,MHT151CYCT,-95.25,-0.0,0.0,top
D5,LED,MHT151CYCT,95.758,-0.0,90.0,top
D6,LED,MHT151CYCT,100.838,7.112,90.0,top
D7,LED,MHT151CYCT,-76.454,6.858,0.0,top
D8,LED,MHT151CYCT,-76.454,-7.112,0.0,top
D9,LED,MHT151CYCT,-56.388,6.858,90.0,top
D10,LED,MHT151CYCT,-56.388,-7.112,90.0,top
D11,LED,MHT151CYCT,-36.576,6.858,0.0,top
D12,LED,MHT151CYCT,-36.576,-7.112,0.0,top
D13,LED,MHT151CYCT,-16.764,6.858,0.0,top
D14,LED,MHT151CYCT,-16.764,-7.112,0.0,top
D15,LED,MHT151CYCT,0.0,9.398,0.0,top
D16,LED,MHT151CYCT,0.0,-8.382,0.0,top
D17,LED,MHT151CYCT,16.002,6.858,0.0,top
D18,LED,MHT151CYCT,16.002,-7.112,180.0,top
D19,LED,MHT151CYCT,35.814,6.858,180.0,top
D20,LED,MHT151CYCT,35.814,-7.112,0.0,top
D21,LED,MHT151CYCT,55.626,6.858,180.0,top
D22,LED,MHT151CYCT,55.626,-7.112,0.0,top
D23,LED,MHT151CYCT,76.2,6.858,180.0,top
D24,LED,MHT151CYCT,76.2,-7.112,0.0,top
D25,LED,MHT151CYCT,25.908,-7.112,180.0,top
D26,LED,MHT151CYCT,45.72,-7.112,90.0,top
D27,LED,MHT151CYCT,65.532,-7.112,0.0,top
D28,LED,MHT151CYCT,0.0,-4.064,0.0,top
D29,LED,MHT151CYCT,16.002,-0.508,180.0,top
D30,LED,MHT151CYCT,35.814,-0.508,0.0,top
D31,LED,MHT151CYCT,55.626,-0.508,0.0,top
D32,LED,MHT151CYCT,76.2,-0.508,0.0,top
D33,LED,MHT151CYCT,16.002,10.16,0.0,top
D34,LED,MHT151CYCT,35.814,10.16,180.0,top
D35,LED,MHT151CYCT,55.626,10.16,180.0,top
D36,LED,MHT151CYCT,76.2,10.16,180.0,top
D38,LED,MHT151CYCT,-58.928,-7.112,90.0,top
D39,LS A67K,LED_Osram_LY_A64K,85.6,-4.7,90.0,top
D40,LY A67K,LED_Osram_LY_A64K,85.6,-0.0,90.0,top
D41,LS A67K,LED_Osram_LY_A64K,85.6,4.7,90.0,top
D43,LS A67K,LED_Osram_LY_A64K,-85.56,4.7,-90.0,top
D44,LY A67K,LED_Osram_LY_A64K,-85.56,-0.0,-90.0,top
D45,LS A67K,LED_Osram_LY_A64K,-85.56,-4.7,-90.0,top
D47,LED,MHT151CYCT_dual_side,-90.17,-0.0,90.0,top
D48,LED,MHT151CYCT_dual_side,90.17,-0.0,90.0,top
D49,LED,MHT151CYCT,-41.148,-7.112,90.0,top
D50,LED,MHT151CYCT,-58.928,6.858,90.0,top
D51,LED,MHT151CYCT,-23.368,-7.112,90.0,top
D52,LED,MHT151CYCT,-41.148,6.858,90.0,top
D53,LED,MHT151CYCT,-5.588,-7.112,90.0,top
D54,LED,MHT151CYCT,-23.368,6.858,90.0,top
D55,LED,MHT151CYCT,12.192,-6.858,90.0,top
D56,LED,MHT151CYCT,-5.588,6.858,90.0,top
D57,LED,MHT151CYCT,29.972,-7.112,90.0,top
D58,LED,MHT151CYCT,12.192,6.858,90.0,top
D59,LED,MHT151CYCT,48.26,-7.112,90.0,top
D60,LED,MHT151CYCT,29.972,6.858,90.0,top
D62,LED,MHT151CYCT,48.26,6.858,90.0,top
D63,LED,MHT151CYCT,65.532,6.858,90.0,top
J2,Conn_02x11_Counter_Clockwise,PinHeader_2x11_P1.27mm_Vertical_SMD,-29.21,-0.0,0.0,top
J16,Conn_01x02,Blokkendoos motor spings,-46.873,-0.0,0.0,top
J17,Conn_01x03_Female,PinHeader_1x03_P2.54mm_Horizontal,19.4,1.025,0.0,top
J18,Conn_01x01,PinHeader_1x01_P2.54mm_Horizontal,14.375,-3.0,180.0,top
Q1,US6K1,SOT-363_SC-70-6_Handsoldering,-49.53,1.27,0.0,top
R1,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.5,7.9,180.0,top
R2,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-81.026,7.112,180.0,top
R3,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-81.026,3.048,180.0,top
R4,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,84.5,7.8,0.0,top
R5,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-70.612,6.858,180.0,top
R6,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-53.34,9.652,-90.0,top
R7,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-43.5,3.0,0.0,top
R8,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-20.574,10.16,-90.0,top
R9,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-52.0,5.842,90.0,top
R10,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22.606,9.144,-90.0,top
R11,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,27.178,9.144,-90.0,top
R12,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-3.556,10.16,-90.0,top
R13,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,71.628,10.0076,-90.0,top
R14,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,24.892,9.144,-90.0,top
R17,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44.704,9.652,-90.0,top
R21,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,81.468,6.9,-90.0,top
R22,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,79.436,6.9,90.0,top
R23,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-81.01,1.016,180.0,top
R24,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-81.026,5.08,180.0,top
R25,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-43.688,9.652,-90.0,top
R26,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4.8,-7.1,-90.0,top
